trait; Rate1; Rate2; LogL; Lik.Root; First.Evol; Med.Evol; N.evol; N.origins; Origins; Dates.Origins
Basal.transcription.factors; -0.000112134512827334; -0.000261191891276827; -244.224933981649; 0.99879177449911; 1903.089273; 3780.14404; 37; 25; 2496, 2521, 2894, 2949, 3278, 3344, 3354, 3357, 3538, 3544, 3556, 3558, 3621, 3693, 3775, 3988, 4045, 4086, 4109, 4112, 4134, 4155, 4363, 4367, 4399; 3863.659566, 3935.945536, 3498.436568, 3907.74129, 3883.513515, 2731.075313, 2606.279362, 2164.641128, 3870.321234, 3508.723351, 4045.842638, 3025.245622, 3708.715759, 3715.930801, 3423.558837, 3926.49208, 3702.207636, 3665.512575, 3635.689328, 3063.665931, 3436.084674, 3076.83929, 3902.527124, 3872.031696, 1903.089273
Base.excision.repair; -0.00110836492727845; -1.10896442016417e-05; -26.0194210546611; 0.998748950466107; 1809.157363; 3567.859961; 85; 5; 2476, 4390, 4393, 4398, 4399; 1809.157363, 3611.519581, 3254.388044, 3845.416488, 1903.089273
Benzoate.degradation; -0.00060072278227981; -0.000154461343615578; -283.441400110969; 0.998863122510629; 1809.157363; 3724.194039; 65; 4; 2476, 4390, 4397, 4399; 1809.157363, 3611.519581, 3962.202246, 1903.089273
Betalain.biosynthesis; -0.000109308989166262; -0.00222602765575844; -239.038968070733; 0.998944145260725; 938.933978; 3582.126177; 113; 2; 2474, 4399; 938.933978, 1903.089273
Bile.secretion; -0.000141656673942199; -0.00078352970397088; -325.828425279842; 0.998570934198775; 1416.658921; 3639.935258; 61; 2; 2475, 4399; 1416.658921, 1903.089273
Biosynthesis.and.biodegradation.of.secondary.metabolites; -0.000705327220340296; -0.000347299241013956; -489.817358728068; 0.999476757907345; 1416.658921; 3741.3947895; 104; 3; 2475, 4402, 4439; 1416.658921, 3052.889894, 2465.191362
Biosynthesis.of.12...14..and.16.membered.macrolides; -2.80151524322972e-05; -0.00247446087358946; -105.926641445658; 0.998918553511766; 1416.658921; 3578.1649595; 106; 2; 2475, 4399; 1416.658921, 1903.089273
Biosynthesis.of.ansamycins; -0.000765448084914937; -5.2464618075517e-05; -173.001105214903; 0.99971119960336; 1416.658921; 3760.011094; 66; 10; 2475, 4398, 4404, 4421, 4422, 4433, 4441, 4457, 4470, 4479; 1416.658921, 3845.416488, 3720.972169, 3714.057985, 3625.696229, 2777.979482, 3443.105539, 3930.212256, 3704.885539, 4044.908751
Biosynthesis.of.siderophore.group.nonribosomal.peptides; -0.000733902447273049; -0.000663549877585563; -676.006061399089; 0.999093047933278; 2084.966731; 3694.392927; 135; 19; 2481, 3529, 3549, 3554, 3558, 3620, 3678, 3687, 3701, 3705, 3712, 3772, 3778, 4083, 4112, 4123, 4378, 4402, 4438; 2084.966731, 2927.97929, 3551.31202, 3630.862659, 3025.245622, 3259.009929, 4038.152432, 3176.292007, 4065.419406, 4045.890856, 3639.935258, 3900.628044, 2928.396004, 3132.302295, 3063.665931, 2139.124812, 2117.495262, 3052.889894, 2413.732728
Biosynthesis.of.type.II.polyketide.backbone; -4.28832898627836e-06; -0.002822609523243; -38.1427948450732; 0.998981197053789; 938.933978; 3580.210357; 114; 2; 2474, 4399; 938.933978, 1903.089273
Biosynthesis.of.type.II.polyketide.products; -7.49646285055666e-05; -0.00322393964273686; -132.559152533336; 0.998999445833275; 938.933978; 3597.5414435; 138; 2; 2474, 4399; 938.933978, 1903.089273
Biosynthesis.of.unsaturated.fatty.acids; -0.000428279000860668; -3.9756605519869e-05; -121.512892950927; 0.999226201058313; 938.933978; 3728.295655; 28; 8; 2474, 4401, 4457, 4470, 4474, 4489, 4495, 4501; 938.933978, 2430.955609, 3930.212256, 3704.885539, 3496.135742, 3768.57894, 3992.136097, 3736.979911
Biosynthesis.of.vancomycin.group.antibiotics; -0.00143380670396163; -0.000371625530720988; -573.746081801891; 0.999035608852787; 1809.157363; 3821.170745; 168; 11; 2476, 4390, 4394, 4398, 4406, 4411, 4419, 4421, 4422, 4433, 4438; 1809.157363, 3611.519581, 3634.81775, 3845.416488, 3903.701799, 4040.420582, 3920.83106, 3714.057985, 3625.696229, 2777.979482, 2413.732728
Biotin.metabolism; -0.000400628398674041; -6.83700474889678e-05; -152.388885246757; 0.996260661591354; 938.933978; 3778.0202315; 42; 2; 2474, 4399; 938.933978, 1903.089273
Bisphenol.degradation; -0.000888667417808571; -0.000507122190279297; -581.536259972613; 0.999042022379932; 938.933978; 3749.293536; 147; 4; 2474, 4403, 4416, 4437; 938.933978, 3337.348937, 3793.99652, 2346.177378
Bladder.cancer; -0.000126042029724532; -0.000991337205849137; -386.777849690627; 0.998713894371509; 1416.658921; 3605.527648; 56; 2; 2475, 4399; 1416.658921, 1903.089273
Butanoate.metabolism; -0.00143587031992925; -1.76622270811534e-05; -44.1464607526119; 0.998958740322649; 938.933978; 3630.537838; 95; 2; 2474, 4399; 938.933978, 1903.089273
Butirosin.and.neomycin.biosynthesis; -0.00124380896652309; -0.000278072111014194; -601.005009522875; 0.999140679423429; 938.933978; 3780.157399; 141; 7; 2474, 4403, 4413, 4455, 4470, 4474, 4486; 938.933978, 3337.348937, 3630.537838, 3906.564004, 3704.885539, 3496.135742, 3541.035514
C5.Branched.dibasic.acid.metabolism; -0.00100491056735883; -8.45281179031844e-05; -199.581215431498; 0.998784198688094; 938.933978; 3645.94795; 91; 2; 2474, 4400; 938.933978, 2223.35251
Caffeine.metabolism; -9.35674304288813e-05; -0.00171276081136169; -201.002792583737; 0.998932069089692; 938.933978; 3576.616833; 87; 2; 2474, 4400; 938.933978, 2223.35251
Calcium.signaling.pathway; -1.7755758995831e-05; -0.00158028830244558; -81.9401909333068; 0.998585054032288; 1809.157363; 3479.442194; 69; 5; 2476, 4389, 4401, 4440, 4469; 1809.157363, 2702.50514, 2430.955609, 2807.857168, 2659.638229
Caprolactam.degradation; -0.000342045430548623; -0.000523765722023892; -524.647291883065; 0.998921572779712; 938.933978; 3708.232847; 75; 2; 2474, 4400; 938.933978, 2223.35251
Carbohydrate.digestion.and.absorption; -0.000423188857340425; -0.00156532533505922; -596.652899274717; 0.998981473394875; 1416.658921; 3701.4938475; 140; 5; 2475, 4409, 4433, 4440, 4468; 1416.658921, 3968.180684, 2777.979482, 2807.857168, 2536.349634
Carbohydrate.metabolism; -0.00127235666064448; -0.000197433149085442; -376.015032323648; 0.999110434440568; 1416.658921; 3737.537077; 152; 8; 2475, 4398, 4401, 4440, 4470, 4474, 4490, 4499; 1416.658921, 3845.416488, 2430.955609, 2807.857168, 3704.885539, 3496.135742, 3167.129043, 3028.559449
Carbon.fixation.in.photosynthetic.organisms; -0.00102095503512142; -4.75267550540489e-06; -13.1541619753727; 0.99900631595203; 938.933978; 3651.588161; 59; 2; 2474, 4399; 938.933978, 1903.089273
Carbon.fixation.pathways.in.prokaryotes; -0.000849176976832314; -4.55398391548128e-06; -14.4634026371952; 0.998863928940977; 938.933978; 3562.342119; 59; 2; 2474, 4399; 938.933978, 1903.089273
Cardiac.muscle.contraction; -4.06308126458852e-05; -0.000237518805209202; -170.638218260469; 0.999672341821792; 2062.110325; 3575.453514; 15; 5; 2480, 4316, 4389, 4401, 4495; 2062.110325, 3739.641527, 2702.50514, 2430.955609, 3992.136097
Carotenoid.biosynthesis; -0.000181165433344215; -0.000451819856966698; -382.54559947359; 0.998969452954317; 938.933978; 3694.772459; 56; 3; 2474, 4401, 4468; 938.933978, 2430.955609, 2536.349634
Cell.cycle; -2.35373081681729e-06; -2.31028733890315e-05; -10.9213499472126; 0.995163671204959; 1903.089273; 1903.089273; 1; 1; 4399; 1903.089273
Cell.cycle...Caulobacter; -0.000919515222909102; -3.12933707180785e-06; -30.9671210158052; 0.999944009063094; 938.933978; 3766.730888; 53; 3; 2474, 4434, 4437; 938.933978, 3891.622512, 2346.177378
Cell.division; -0.000506087753290209; -0.000100907747419463; -272.273466979892; 0.999509700344529; 1809.157363; 3649.6919015; 52; 6; 2476, 4394, 4398, 4418, 4433, 4438; 1809.157363, 3634.81775, 3845.416488, 4044.076505, 2777.979482, 2413.732728
Cell.motility.and.secretion; -0.000633062099800966; -1.77005314577298e-05; -80.1268204752873; 0.999861259584844; 938.933978; 3571.222723; 38; 8; 2474, 4406, 4417, 4454, 4471, 4474, 4484, 4500; 938.933978, 3903.701799, 3862.336275, 3036.818164, 4043.32327, 3496.135742, 3067.229666, 3567.640977
Cellular.antigens; -0.000608970957656421; -0.000515121843524055; -634.58339136397; 0.999057845178802; 938.933978; 3720.972169; 101; 2; 2474, 4399; 938.933978, 1903.089273
Chagas.disease..American.trypanosomiasis.; -7.03141080126589e-05; -0.000941910624558186; -327.801399489626; 0.997795642626119; 938.933978; 3564.986138; 48; 3; 2474, 4421, 4433; 938.933978, 3714.057985, 2777.979482
Chloroalkane.and.chloroalkene.degradation; -0.000787647263809128; -0.000106946961029201; -230.287304281546; 0.998464227389532; 1416.658921; 3701.05476; 92; 3; 2475, 4398, 4399; 1416.658921, 3845.416488, 1903.089273
Chlorocyclohexane.and.chlorobenzene.degradation; -0.000406890072158742; -0.000501833862367732; -566.560561113052; 0.999043204987781; 938.933978; 3824.9464395; 78; 6; 2474, 4422, 4433, 4454, 4470, 4474; 938.933978, 3625.696229, 2777.979482, 3036.818164, 3704.885539, 3496.135742
Chromosome; -0.00188497458963995; -3.26633377250384e-06; -7.6495891236655; 0.998969181503398; 938.933978; 3640.869904; 128; 2; 2474, 4400; 938.933978, 2223.35251
Circadian.rhythm...plant; -0.000141424347453335; -0.00128591207076523; -323.117627228448; 0.998646150862758; 938.933978; 3566.325184; 79; 5; 2474, 4417, 4441, 4469, 4499; 938.933978, 3862.336275, 3443.105539, 2659.638229, 3028.559449
Citrate.cycle..TCA.cycle.; -0.00100521318440671; -1.66329972297972e-05; -44.1151453067299; 0.998784172724338; 938.933978; 3549.3319285; 76; 2; 2474, 4400; 938.933978, 2223.35251
Clavulanic.acid.biosynthesis; -2.0887539044718e-05; -0.00570913852891976; -48.5615726875218; 0.998999999692905; 938.933978; 3699.7029815; 188; 2; 2474, 4399; 938.933978, 1903.089273
Colorectal.cancer; -5.13738745408268e-05; -0.000362563505613621; -172.392572298813; 0.999782007320535; 938.933978; 3669.722187; 25; 1; 2474; 938.933978
Cyanoamino.acid.metabolism; -0.00100717038735193; -1.93367103001893e-05; -55.0719225863453; 0.999345358278708; 938.933978; 3530.7608795; 70; 3; 2474, 4401, 4438; 938.933978, 2430.955609, 2413.732728
Cysteine.and.methionine.metabolism; -0.000932668013584206; -4.64355722909396e-06; -14.196830002097; 0.99894837117685; 938.933978; 3576.616833; 57; 3; 2474, 4401, 4438; 938.933978, 2430.955609, 2413.732728
Cytochrome.P450; -1.71294505517875e-05; -0.00292792827966125; -58.8650217605289; 0.999000255105882; 2030.180169; 3527.303342; 127; 9; 2479, 4123, 4378, 4389, 4398, 4401, 4440, 4469, 4499; 2030.180169, 2139.124812, 2117.495262, 2702.50514, 3845.416488, 2430.955609, 2807.857168, 2659.638229, 3028.559449
Cytoskeleton.proteins; -0.00107671794780143; -1.74036875237599e-05; -66.9586179081594; 0.999233276926426; 938.933978; 3618.607905; 82; 6; 2474, 4411, 4420, 4422, 4433, 4438; 938.933978, 4040.420582, 4010.276182, 3625.696229, 2777.979482, 2413.732728
D.Alanine.metabolism; -0.000183343441192217; -3.05461807405748e-05; -111.266481333953; 0.999654172153078; 938.933978; 3863.659566; 17; 3; 2474, 4449, 4495; 938.933978, 3956.077206, 3992.136097
D.Arginine.and.D.ornithine.metabolism; -0.000200080693721051; -0.000892768590216075; -415.271114619425; 0.999242559435605; 1416.658921; 3541.356239; 71; 3; 2475, 4401, 4438; 1416.658921, 2430.955609, 2413.732728
D.Glutamine.and.D.glutamate.metabolism; -0.000327641291978564; -4.50412287037273e-05; -114.867078184254; 0.994956978581604; 938.933978; 3646.922058; 29; 2; 2474, 4399; 938.933978, 1903.089273
Dioxin.degradation; -0.000656206965015493; -0.000542079909811851; -568.313281982971; 0.99923580407263; 2003.901286; 3739.641527; 127; 6; 2478, 4389, 4415, 4419, 4434, 4439; 2003.901286, 2702.50514, 3719.785863, 3920.83106, 3891.622512, 2465.191362
Drug.metabolism...cytochrome.P450; -0.000734758229153727; -0.000277651963538163; -477.361964270485; 0.999369861975033; 1809.157363; 3714.7580125; 112; 9; 2476, 4394, 4402, 4434, 4457, 4470, 4474, 4498, 4502; 1809.157363, 3634.81775, 3052.889894, 3891.622512, 3930.212256, 3704.885539, 3496.135742, 3740.697509, 3874.675518
Drug.metabolism...other.enzymes; -0.000450300715114449; -1.93485791602521e-05; -51.7605845591359; 0.996797987950025; 938.933978; 3626.77984; 21; 2; 2474, 4399; 938.933978, 1903.089273
Electron.transfer.carriers; -0.000329733177297799; -0.000549384732932834; -554.075695222059; 0.998563652933203; 938.933978; 3641.869502; 77; 2; 2474, 4399; 938.933978, 1903.089273
Endocrine.and.other.factor.regulated.calcium.reabsorption; -2.11458357077461e-05; -0.0021818561304985; -48.2570484232578; 0.999005794605439; 938.933978; 3422.207429; 103; 2; 2474, 4400; 938.933978, 2223.35251
Endocytosis; -5.87917754746488e-05; -0.00284232117649431; -122.314937517359; 0.999000448448483; 1809.157363; 3617.10975; 141; 3; 2476, 4389, 4399; 1809.157363, 2702.50514, 1903.089273
Energy.metabolism; -0.000111515846313707; -3.23652188510729e-06; -25.9812985678378; 0.95753428136382; 938.933978; 3863.659566; 5; 2; 2474, 4399; 938.933978, 1903.089273
Epithelial.cell.signaling.in.Helicobacter.pylori.infection; -0.000611414454398163; -0.00031455538065453; -459.983503753224; 0.999212882668947; 938.933978; 3716.834692; 78; 4; 2474, 4421, 4424, 4439; 938.933978, 3714.057985, 3997.818593, 2465.191362
Ether.lipid.metabolism; -0.000274413373354521; -0.00151444055177424; -491.332998844066; 0.998869315315471; 938.933978; 3657.8386395; 116; 2; 2474, 4399; 938.933978, 1903.089273
Ethylbenzene.degradation; -0.000814927945462321; -0.000506529087373469; -642.687929488606; 0.999240403966825; 2003.901286; 3714.994393; 120; 5; 2478, 4402, 4449, 4469, 4499; 2003.901286, 3052.889894, 3956.077206, 2659.638229, 3028.559449
Fat.digestion.and.absorption; -2.11446914987525e-06; -4.25730529427549e-06; -7.62527418386404; 0.999999967426317; 3409.19591; 3409.19591; 1; 1; 2954; 3409.19591
Fatty.acid.biosynthesis; -0.000446076358702987; -3.10056369370273e-05; -103.335152690046; 0.999397083280445; 938.933978; 3562.342119; 37; 8; 2474, 4401, 4457, 4470, 4474, 4488, 4495, 4502; 938.933978, 2430.955609, 3930.212256, 3704.885539, 3496.135742, 3697.982812, 3992.136097, 3874.675518
Fatty.acid.elongation.in.mitochondria; -7.07332912785759e-06; -0.00101090290205054; -29.1364325549753; 0.999213805712472; 938.933978; 3504.421479; 45; 4; 2474, 4447, 4456, 4504; 938.933978, 3852.722399, 3977.556224, 3817.142639
Fatty.acid.metabolism; -0.000558659825342298; -4.59342492976972e-05; -131.550313756962; 0.997655946981435; 938.933978; 3821.623696; 35; 2; 2474, 4399; 938.933978, 1903.089273
Fc.gamma.R.mediated.phagocytosis; -6.58041020710728e-05; -0.00280411697917623; -131.49293072506; 0.99900010562491; 938.933978; 3630.537838; 125; 2; 2474, 4399; 938.933978, 1903.089273
Flagellar.assembly; -0.000199459269746677; -0.000272324318391664; -378.423547490922; 0.998118241801379; 938.933978; 3646.459211; 41; 2; 2474, 4486; 938.933978, 3541.035514
Flavone.and.flavonol.biosynthesis; -0.000239661051565406; -0.00320778064868882; -320.505897615055; 0.998999816547535; 1903.089273; 3671.636319; 151; 4; 2478, 4378, 4396, 4399; 2003.901286, 2117.495262, 3766.730888, 1903.089273
Flavonoid.biosynthesis; -0.000330962701068354; -0.000925255020759169; -550.410724296645; 0.998796771601505; 938.933978; 3676.030858; 93; 3; 2474, 4401, 4438; 938.933978, 2430.955609, 2413.732728
Fluorobenzoate.degradation; -0.00013280524602922; -0.00069981999827364; -426.77378105269; 0.997853376456928; 938.933978; 3722.024644; 57; 4; 2474, 4401, 4440, 4468; 938.933978, 2430.955609, 2807.857168, 2536.349634
Folate.biosynthesis; -0.00112433623444369; -2.74553426847467e-05; -76.5927556360154; 0.998831957572158; 938.933978; 3659.047765; 80; 2; 2474, 4399; 938.933978, 1903.089273
Fructose.and.mannose.metabolism; -0.000817479481694604; -9.99398885733356e-06; -26.0598734934494; 0.99862731040909; 938.933978; 3558.723269; 49; 3; 2474, 4401, 4438; 938.933978, 2430.955609, 2413.732728
Function.unknown; -0.00142986475491195; -1.15405142727116e-05; -29.1255924393155; 0.998896246108979; 938.933978; 3617.2136425; 100; 2; 2474, 4399; 938.933978, 1903.089273
G.protein.coupled.receptors; -1.77633320289232e-05; -0.00141857141707043; -54.0237472213401; 0.9986881270118; 938.933978; 3443.105539; 63; 2; 2474, 4399; 938.933978, 1903.089273
Galactose.metabolism; -0.000531488614530061; -2.3549487061355e-05; -63.1881811451338; 0.997494940508935; 1416.658921; 3623.475317; 36; 3; 2475, 4398, 4399; 1416.658921, 3845.416488, 1903.089273
Gastric.acid.secretion; -2.43469414869397e-05; -0.00207696541970374; -52.9488075873945; 0.999007438893263; 938.933978; 3517.875724; 86; 2; 2474, 4400; 938.933978, 2223.35251
Geraniol.degradation; -0.000502550716635015; -0.000289703780918754; -476.973855671651; 0.999669138647576; 2030.180169; 3679.9546655; 88; 9; 2479, 4124, 4330, 4367, 4372, 4378, 4401, 4455, 4469; 2030.180169, 2264.827823, 3527.67626, 3872.031696, 3696.560549, 2117.495262, 2430.955609, 3906.564004, 2659.638229
Germination; -8.40587560843564e-06; -0.000313940763817963; -87.9868444062899; 0.99983603780891; 1899.410578; 3136.877363; 10; 1; 2477; 1899.410578
Glutamatergic.synapse; -0.000470298283813387; -5.45917156742952e-05; -135.256728425107; 0.997020761825308; 938.933978; 3651.588161; 37; 2; 2474, 4399; 938.933978, 1903.089273
Glutathione.metabolism; -0.000919554956333763; -2.59248233711813e-05; -64.1404568132556; 0.999245819351933; 1809.157363; 3487.503923; 65; 12; 2476, 4389, 4398, 4401, 4441, 4454, 4470, 4474, 4486, 4491, 4493, 4499; 1809.157363, 2702.50514, 3845.416488, 2430.955609, 3443.105539, 3036.818164, 3704.885539, 3496.135742, 3541.035514, 3853.771124, 3704.296336, 3028.559449
Glycan.biosynthesis.and.metabolism; -0.000165247769489858; -0.000129771094296927; -283.546296769396; 0.998627827769488; 938.933978; 3612.796341; 40; 2; 2474, 4403; 938.933978, 3337.348937
Glycerolipid.metabolism; -0.000554072245079666; -1.38065211137151e-05; -78.7132825648329; 0.999888101646387; 938.933978; 3846.74343; 36; 10; 2474, 4404, 4418, 4421, 4425, 4457, 4470, 4474, 4495, 4501; 938.933978, 3720.972169, 4044.076505, 3714.057985, 3690.892653, 3930.212256, 3704.885539, 3496.135742, 3992.136097, 3736.979911
Glycerophospholipid.metabolism; -0.00104301497747397; -1.65260738686245e-05; -42.0415207789633; 0.998813176321495; 938.933978; 3590.0631385; 82; 2; 2474, 4400; 938.933978, 2223.35251
Glycine..serine.and.threonine.metabolism; -4.44476524210328e-06; -7.16073136498606e-06; -29.7540598195435; 0.0344648276950534; 4063.341435; 4065.878938; 2; 2; 3735, 3744; 4068.416441, 4063.341435
Glycolysis...Gluconeogenesis; -0.00106838408374815; -1.06242213982823e-05; -24.4945156727875; 0.99888127795468; 938.933978; 3617.3605105; 58; 3; 2474, 4401, 4438; 938.933978, 2430.955609, 2413.732728
Glycosaminoglycan.degradation; -0.000358199100728258; -0.00121863223606683; -569.671155257198; 0.998977986677574; 938.933978; 3645.8427595; 102; 6; 2474, 4413, 4433, 4462, 4472, 4473; 938.933978, 3630.537838, 2777.979482, 3991.060063, 3834.46326, 2779.358775
Glycosphingolipid.biosynthesis...ganglio.series; -0.000250922338723654; -0.00127835862181841; -475.179927446954; 0.999015495759155; 938.933978; 3556.7452085; 92; 2; 2474, 4400; 938.933978, 2223.35251
Glycosphingolipid.biosynthesis...globo.series; -0.000330931219242932; -0.000910909092376701; -585.876037647813; 0.99878715661976; 938.933978; 3673.573647; 94; 2; 2474, 4399; 938.933978, 1903.089273
Glycosphingolipid.biosynthesis...lacto.and.neolacto.series; -3.05296867064239e-05; -0.00381488749887303; -55.1287347828299; 0.998999929990953; 938.933978; 3638.660935; 144; 4; 2474, 4412, 4433, 4437; 938.933978, 3309.677093, 2777.979482, 2346.177378
Glycosylphosphatidylinositol.GPI..anchor.biosynthesis; -8.04463925397962e-06; -4.27317567537923e-06; -21.8517384985564; 0.999999966902957; 3903.142369; 3903.142369; 1; 1; 2985; 3903.142369
Glycosyltransferases; -0.000488778188160438; -2.16944333524579e-05; -74.6928365016148; 0.997022704758827; 938.933978; 3825.3376585; 24; 2; 2474, 4399; 938.933978, 1903.089273
Glyoxylate.and.dicarboxylate.metabolism; -0.00066087158206471; -2.18350755503002e-05; -82.7205824446207; 0.998133895691676; 938.933978; 3547.351837; 43; 2; 2474, 4399; 938.933978, 1903.089273
GnRH.signaling.pathway; -6.28052036674079e-05; -0.00279841241449841; -126.212229620676; 0.999000571856027; 938.933978; 3618.2524055; 122; 2; 2474, 4400; 938.933978, 2223.35251
Hepatitis.C; -4.72946473460487e-06; -2.30086531275622e-05; -16.6999305737394; 0.997590541280418; 1903.089273; 1903.089273; 1; 1; 4399; 1903.089273
Histidine.metabolism; -0.00122346190854518; -4.1257479584699e-05; -100.019098868108; 0.999026032390527; 938.933978; 3705.766511; 85; 2; 2474, 4399; 938.933978, 1903.089273
Homologous.recombination; -0.00113692107450454; -1.56829797227091e-06; -10.1725983858975; 0.999308283297392; 1416.658921; 3653.68348; 61; 6; 2475, 4398, 4411, 4412, 4434, 4437; 1416.658921, 3845.416488, 4040.420582, 3309.677093, 3891.622512, 2346.177378
